"year","race","hispanic","region","partyid","coninc","polviews"
1972,1,NA,5,1,41667,NA
1972,1,NA,5,1,50926,NA
1972,1,NA,5,1,60185,NA
1972,1,NA,5,1,69444,NA
1972,1,NA,5,0,50926,NA
1972,2,NA,5,1,3704,NA
1972,2,NA,7,0,3704,NA
1972,2,NA,7,0,3704,NA
1972,2,NA,7,0,3704,NA
1972,2,NA,7,0,18519,NA
1972,2,NA,7,0,3704,NA
1972,2,NA,7,0,3704,NA
1972,2,NA,7,7,11111,NA
1972,2,NA,7,1,18519,NA
1972,2,NA,7,0,33333,NA
1972,1,NA,5,1,11111,NA
1972,1,NA,5,1,41667,NA
1972,1,NA,5,1,33333,NA
1972,1,NA,5,1,18519,NA
1972,1,NA,5,1,11111,NA
1972,1,NA,5,3,25926,NA
1972,1,NA,5,5,25926,NA
1972,1,NA,6,6,18519,NA
1972,1,NA,6,5,3704,NA
1972,1,NA,6,1,11111,NA
1972,1,NA,6,6,33333,NA
1972,1,NA,6,6,3704,NA
1972,1,NA,6,5,11111,NA
1972,1,NA,6,6,33333,NA
1972,1,NA,3,2,41667,NA
1972,1,NA,3,2,NA,NA
1972,1,NA,3,0,33333,NA
1972,1,NA,3,1,33333,NA
1972,1,NA,3,6,NA,NA
1972,1,NA,3,1,NA,NA
1972,1,NA,3,0,41667,NA
1972,1,NA,3,1,18519,NA
1972,1,NA,3,1,60185,NA
1972,1,NA,3,3,41667,NA
1972,1,NA,3,5,NA,NA
1972,1,NA,3,1,50926,NA
1972,1,NA,3,2,41667,NA
1972,1,NA,3,1,25926,NA
1972,1,NA,3,3,83333,NA
1972,1,NA,3,4,18519,NA
1972,1,NA,8,5,25926,NA
1972,1,NA,8,1,NA,NA
1972,1,NA,8,1,NA,NA
1972,1,NA,8,4,11111,NA
1972,1,NA,8,2,3704,NA
1972,1,NA,8,1,18519,NA
1972,1,NA,8,1,33333,NA
1972,1,NA,8,5,41667,NA
1972,1,NA,8,0,25926,NA
1972,1,NA,9,1,33333,NA
1972,1,NA,9,1,60185,NA
1972,1,NA,9,3,11111,NA
1972,1,NA,9,3,60185,NA
1972,1,NA,9,1,130356,NA
1972,1,NA,9,1,25926,NA
1972,1,NA,9,0,83333,NA
1972,2,NA,3,0,50926,NA
1972,2,NA,3,2,41667,NA
1972,2,NA,3,0,41667,NA
1972,2,NA,3,1,25926,NA
1972,2,NA,3,0,83333,NA
1972,2,NA,3,2,41667,NA
1972,2,NA,3,0,41667,NA
1972,2,NA,3,0,41667,NA
1972,2,NA,3,0,18519,NA
1972,1,NA,3,0,25926,NA
1972,1,NA,3,0,41667,NA
